name	singer	title	sex	url	year	singer_sex
תפארת	אבי בן ישראל	מלכות שמיים_8	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3750&wrkid=17418	0	
צהלה	אבי בן ישראל	מצהלות_9	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3750&wrkid=17980	0	
ליבי	אבי בן ישראל	מצהלות_9	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3750&wrkid=17980	0	
אור	אבי בניון	כל נשימה_17	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2593&wrkid=10010	0	male
ליבי	אבי בניון	לזכור לשכוח_22	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2593&wrkid=19686	0	male
חווה	אבי בניון	לפני תפילה_24	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2593&wrkid=19702	0	male
אן	אבי בניון	לפרוץ את החומות_26	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2593&wrkid=36421	0	male
תומר	אבי בניון	נצח_30	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2593&wrkid=36071	0	male
לבנה	אבי בניון	רוח קדושה_33	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2593&wrkid=10009	0	male
אריה	אבי ברק	כנפיים שבורות_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4350&wrkid=13664	0	
ברכה	אבי גבאי	הרב כדורי_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4617&wrkid=14493	0	male
שמחה	אבי גואטה	אלוהים תעשה שנגדל_5	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=25330	0	
ליבי	אבי גואטה	את התקווה והאור_6	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=22424	0	
ליבי	אבי גואטה	את התקווה והאור_6	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=22424	0	
אן	אבי גואטה	את זה עולם_7	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=17203	0	
אור	אבי גואטה	בעזרת השם_8	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=23100	0	
אושר	אבי גואטה	בעזרת השם_8	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=23100	0	
ליבי	אבי גואטה	שאלתי_24	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=27130	0	
